,,EAN,Produto,Categoria,Descrição,Preço,Fornecedor,Data
,,6580530690789,Evening,Categoria 5,Somente a descrição do produto,24.17,fabio@gmail.com,12/15/2023
,,1785539063878,Lawyer,Categoria 6,Somente a descrição do produto,7.87,fornecedor@gmail.com,12/15/2023
,,1583257401879,Difference,Categoria 7,Somente a descrição do produto,55.74,luciano@gmail.com,12/15/2023
,,5764478933356,Foreign,Categoria 8,Somente a descrição do produto,56.71,fabio@gmail.com,12/15/2023
,,5290611296618,Election,Categoria 9,Somente a descrição do produto,15.68,fornecedor@gmail.com,12/15/2023
,,7750522928971,Various,Categoria 1,Somente a descrição do produto,40.73,luciano@gmail.com,12/15/2023
,,8497933063271,Worker,Categoria 2,Somente a descrição do produto,95.43,fabio@gmail.com,12/15/2023
,,5025918294384,Lawyer,Categoria 3,Somente a descrição do produto,3.05,fornecedor@gmail.com,12/15/2023
,,9330352840025,Candidate,Categoria 4,Somente a descrição do produto,83.07,luciano@gmail.com,12/15/2023
,,4582866510207,Its,Categoria 5,Somente a descrição do produto,62.51,fabio@gmail.com,12/15/2023
,,7178046337688,Throw,Categoria 6,Somente a descrição do produto,6.81,fornecedor@gmail.com,12/15/2023
,,9294201900677,Doctor,Categoria 7,Somente a descrição do produto,16.27,luciano@gmail.com,12/15/2023
,,2802248152569,Anything,Categoria 8,Somente a descrição do produto,91.33,fabio@gmail.com,12/15/2023
,,1205940248430,Much,Categoria 9,Somente a descrição do produto,55.53,fornecedor@gmail.com,12/15/2023
,,1485630711097,High,Categoria 2,Somente a descrição do produto,43.76,luciano@gmail.com,12/15/2023
,,308127566578,Close,Categoria 3,Somente a descrição do produto,8.1,fabio@gmail.com,12/15/2023
,,2896290939476,Poor,Categoria 4,Somente a descrição do produto,87.21,fornecedor@gmail.com,12/15/2023
,,3780198492937,Foreign,Categoria 5,Somente a descrição do produto,63.02,luciano@gmail.com,12/15/2023
,,8795996407354,Human,Categoria 6,Somente a descrição do produto,10.36,fabio@gmail.com,12/15/2023
,,6831426169187,Half,Categoria 7,Somente a descrição do produto,86.21,fornecedor@gmail.com,12/15/2023
,,8601358448395,Professional,Categoria 8,Somente a descrição do produto,45.79,luciano@gmail.com,12/15/2023
,,7380492775765,Benefit,Categoria 9,Somente a descrição do produto,32.17,fabio@gmail.com,12/15/2023
,,184386249137,Particular,Categoria 1,Somente a descrição do produto,45.67,fornecedor@gmail.com,12/15/2023
,,3753839085744,Last,Categoria 2,Somente a descrição do produto,52.84,luciano@gmail.com,12/15/2023
,,3874808506814,We,Categoria 3,Somente a descrição do produto,84.54,fabio@gmail.com,12/15/2023
,,851430745524,Throw,Categoria 4,Somente a descrição do produto,49.45,fornecedor@gmail.com,12/15/2023
,,8412431276558,City,Categoria 5,Somente a descrição do produto,32.93,luciano@gmail.com,12/15/2023
,,3103158047204,Type,Categoria 6,Somente a descrição do produto,76.91,fabio@gmail.com,12/15/2023
,,8912739109331,Despite,Categoria 7,Somente a descrição do produto,44.68,fornecedor@gmail.com,12/15/2023
,,7707159155324,Necessary,Categoria 8,Somente a descrição do produto,31.37,luciano@gmail.com,12/15/2023
,,6202376809780,Impact,Categoria 9,Somente a descrição do produto,37.01,fabio@gmail.com,12/15/2023
,,8368279596900,Development,Categoria 2,Somente a descrição do produto,40.33,fornecedor@gmail.com,12/15/2023
,,1627666892719,Indeed,Categoria 3,Somente a descrição do produto,41.26,luciano@gmail.com,12/15/2023
,,5135626218593,Order,Categoria 4,Somente a descrição do produto,67.45,fabio@gmail.com,12/15/2023
,,5420286576320,Determine,Categoria 5,Somente a descrição do produto,40.24,fornecedor@gmail.com,12/15/2023
,,8628047663372,Reach,Categoria 6,Somente a descrição do produto,84.31,luciano@gmail.com,12/15/2023
,,4865946099985,Southern,Categoria 7,Somente a descrição do produto,6.03,fabio@gmail.com,12/15/2023
,,3016312588591,Top,Categoria 8,Somente a descrição do produto,80.32,fornecedor@gmail.com,12/15/2023
,,9313056733756,Commercial,Categoria 9,Somente a descrição do produto,98.39,luciano@gmail.com,12/15/2023
,,4362266637380,Almost,Categoria 1,Somente a descrição do produto,60.36,fabio@gmail.com,12/15/2023
,,5042781929595,Generation,Categoria 2,Somente a descrição do produto,3.38,fornecedor@gmail.com,12/15/2023
,,2972907475299,His,Categoria 3,Somente a descrição do produto,28.47,luciano@gmail.com,12/15/2023
,,6863443517160,Find,Categoria 4,Somente a descrição do produto,11.62,fabio@gmail.com,12/15/2023
,,628631362245,Expert,Categoria 5,Somente a descrição do produto,45.29,fornecedor@gmail.com,12/15/2023
,,9356626701083,Bring,Categoria 6,Somente a descrição do produto,4.08,luciano@gmail.com,12/15/2023
,,5850983165235,Ready,Categoria 7,Somente a descrição do produto,51.09,fabio@gmail.com,12/15/2023
,,5770470788177,Check,Categoria 8,Somente a descrição do produto,14.3,fornecedor@gmail.com,12/15/2023
,,5854876092950,Run,Categoria 9,Somente a descrição do produto,48.46,luciano@gmail.com,12/15/2023
,,1801248451888,Myself,Categoria 2,Somente a descrição do produto,84.67,fabio@gmail.com,12/15/2023
,,5624394966732,Technology,Categoria 3,Somente a descrição do produto,8.59,fornecedor@gmail.com,12/15/2023
,,584538366918,Way,Categoria 4,Somente a descrição do produto,79.62,luciano@gmail.com,12/15/2023
,,6953714521641,According,Categoria 5,Somente a descrição do produto,54.12,fabio@gmail.com,12/15/2023
,,7287655745552,Per,Categoria 6,Somente a descrição do produto,77.89,fornecedor@gmail.com,12/15/2023
,,5643923102809,Military,Categoria 7,Somente a descrição do produto,31.51,luciano@gmail.com,12/15/2023
,,9245250893410,Could,Categoria 8,Somente a descrição do produto,20.97,fabio@gmail.com,12/15/2023
,,611082240415,Smile,Categoria 9,Somente a descrição do produto,62.83,fornecedor@gmail.com,12/15/2023
,,5654316806709,Beautiful,Categoria 1,Somente a descrição do produto,54.65,luciano@gmail.com,12/15/2023
,,3447340740208,Realize,Categoria 2,Somente a descrição do produto,43.57,fabio@gmail.com,12/15/2023
,,3849655366362,Smile,Categoria 3,Somente a descrição do produto,82.54,fornecedor@gmail.com,12/15/2023
,,2047305244867,Win,Categoria 4,Somente a descrição do produto,56.94,luciano@gmail.com,12/15/2023
,,2324727278275,Option,Categoria 5,Somente a descrição do produto,19.35,fabio@gmail.com,12/15/2023
,,4134518843883,Away,Categoria 6,Somente a descrição do produto,35.69,fornecedor@gmail.com,12/15/2023
,,9048250518402,Newspaper,Categoria 7,Somente a descrição do produto,86.52,luciano@gmail.com,12/15/2023
,,5275273617926,Child,Categoria 8,Somente a descrição do produto,27.32,fabio@gmail.com,12/15/2023
,,4763025018974,Somebody,Categoria 9,Somente a descrição do produto,42.82,fornecedor@gmail.com,12/15/2023
,,7887330506944,Kid,Categoria 2,Somente a descrição do produto,81.37,luciano@gmail.com,12/15/2023
,,7957769666080,Property,Categoria 3,Somente a descrição do produto,46.51,fabio@gmail.com,12/15/2023
,,7850425475838,Else,Categoria 4,Somente a descrição do produto,61.52,fornecedor@gmail.com,12/15/2023
,,7026890468976,Direction,Categoria 5,Somente a descrição do produto,68.15,luciano@gmail.com,12/15/2023
,,9409935142495,Country,Categoria 6,Somente a descrição do produto,40.37,fabio@gmail.com,12/15/2023
,,2378676818402,Whatever,Categoria 7,Somente a descrição do produto,9.97,fornecedor@gmail.com,12/15/2023
,,5479164444718,Staff,Categoria 8,Somente a descrição do produto,44.29,luciano@gmail.com,12/15/2023
,,3701094063465,Machine,Categoria 9,Somente a descrição do produto,34.2,fabio@gmail.com,12/15/2023
,,1938525263732,Not,Categoria 1,Somente a descrição do produto,67.9,fornecedor@gmail.com,12/15/2023
,,8252369849420,Wish,Categoria 2,Somente a descrição do produto,48.97,luciano@gmail.com,12/15/2023
,,8933378143043,Activity,Categoria 3,Somente a descrição do produto,46.49,fabio@gmail.com,12/15/2023
,,9725211824665,Blood,Categoria 4,Somente a descrição do produto,22.96,fornecedor@gmail.com,12/15/2023
,,5300279491208,Late,Categoria 5,Somente a descrição do produto,34.83,luciano@gmail.com,12/15/2023
,,3248547568271,Memory,Categoria 6,Somente a descrição do produto,74.57,fabio@gmail.com,12/15/2023
,,5879341768048,Their,Categoria 7,Somente a descrição do produto,5.06,fornecedor@gmail.com,12/15/2023
,,5495671312524,Lay,Categoria 8,Somente a descrição do produto,2.31,luciano@gmail.com,12/15/2023
,,4891248302621,Free,Categoria 9,Somente a descrição do produto,61.8,fabio@gmail.com,12/15/2023
,,4077987067049,Dream,Categoria 2,Somente a descrição do produto,64.37,fornecedor@gmail.com,12/15/2023
,,7130556322417,Challenge,Categoria 3,Somente a descrição do produto,87.91,luciano@gmail.com,12/15/2023
,,4869678225070,Many,Categoria 4,Somente a descrição do produto,90.37,fabio@gmail.com,12/15/2023
,,8314013526603,Ball,Categoria 5,Somente a descrição do produto,64.55,fornecedor@gmail.com,12/15/2023
,,1836430787650,Prepare,Categoria 6,Somente a descrição do produto,45,luciano@gmail.com,12/15/2023
,,2443276037819,Serve,Categoria 7,Somente a descrição do produto,70.86,fabio@gmail.com,12/15/2023
,,3851292260309,Special,Categoria 8,Somente a descrição do produto,50.61,fornecedor@gmail.com,12/15/2023
,,3126111122602,Step,Categoria 9,Somente a descrição do produto,11.43,luciano@gmail.com,12/15/2023
,,5653865609342,Red,Categoria 1,Somente a descrição do produto,22.08,fabio@gmail.com,12/15/2023
,,8440417502674,Do,Categoria 2,Somente a descrição do produto,29.28,fornecedor@gmail.com,12/15/2023
,,7199369993108,Free,Categoria 3,Somente a descrição do produto,10.39,luciano@gmail.com,12/15/2023
,,7507948867328,Left,Categoria 4,Somente a descrição do produto,26.52,fabio@gmail.com,12/15/2023
,,1252983160076,Thousand,Categoria 5,Somente a descrição do produto,5.13,fornecedor@gmail.com,12/15/2023
,,3068460813018,Peace,Categoria 6,Somente a descrição do produto,48.39,luciano@gmail.com,12/15/2023
,,9794513081090,Bad,Categoria 7,Somente a descrição do produto,30.17,fabio@gmail.com,12/15/2023
,,7713823295074,Dinner,Categoria 8,Somente a descrição do produto,10.18,fornecedor@gmail.com,12/15/2023
,,1170504163750,Yeah,Categoria 9,Somente a descrição do produto,83.93,luciano@gmail.com,12/15/2023
,,4727487563731,Paper,Categoria 2,Somente a descrição do produto,26.68,fabio@gmail.com,12/15/2023
,,5203978624420,Space,Categoria 3,Somente a descrição do produto,30.7,fornecedor@gmail.com,12/15/2023
,,4367381267894,Seat,Categoria 4,Somente a descrição do produto,81,luciano@gmail.com,12/15/2023
,,3448884172470,Cover,Categoria 5,Somente a descrição do produto,59.15,fabio@gmail.com,12/15/2023
,,5023696616886,Machine,Categoria 6,Somente a descrição do produto,23.18,fornecedor@gmail.com,12/15/2023
,,6300478923684,Town,Categoria 7,Somente a descrição do produto,76.1,luciano@gmail.com,12/15/2023
,,1452709208925,Season,Categoria 8,Somente a descrição do produto,19.13,fabio@gmail.com,12/15/2023
,,5093338692707,Score,Categoria 9,Somente a descrição do produto,2.92,fornecedor@gmail.com,12/15/2023
,,1586263485833,Single,Categoria 1,Somente a descrição do produto,31.34,luciano@gmail.com,12/15/2023
,,2651698303843,Guess,Categoria 2,Somente a descrição do produto,43.89,fabio@gmail.com,12/15/2023
,,3353818310777,Book,Categoria 3,Somente a descrição do produto,78.99,fornecedor@gmail.com,12/15/2023
,,6085605385930,Begin,Categoria 4,Somente a descrição do produto,58.45,luciano@gmail.com,12/15/2023
,,3019932278781,Before,Categoria 5,Somente a descrição do produto,9.64,fabio@gmail.com,12/15/2023
,,6760680862339,Beat,Categoria 6,Somente a descrição do produto,39.49,fornecedor@gmail.com,12/15/2023
,,4027943461015,Treat,Categoria 7,Somente a descrição do produto,88.83,luciano@gmail.com,12/15/2023
,,2995810596851,Laugh,Categoria 8,Somente a descrição do produto,82.69,fabio@gmail.com,12/15/2023
,,6687250614535,Job,Categoria 9,Somente a descrição do produto,6.64,fornecedor@gmail.com,12/15/2023
,,5323757756002,Management,Categoria 2,Somente a descrição do produto,87.18,luciano@gmail.com,12/15/2023
,,2633872399316,Last,Categoria 3,Somente a descrição do produto,83.85,fabio@gmail.com,12/15/2023
,,5441439386559,Finish,Categoria 4,Somente a descrição do produto,13.22,fornecedor@gmail.com,12/15/2023
,,6467296199780,Remember,Categoria 5,Somente a descrição do produto,22.07,luciano@gmail.com,12/15/2023
,,4833900562356,Traditional,Categoria 6,Somente a descrição do produto,71.51,fabio@gmail.com,12/15/2023
,,3856821386949,Section,Categoria 7,Somente a descrição do produto,47.56,fornecedor@gmail.com,12/15/2023
,,5255541061705,Especially,Categoria 8,Somente a descrição do produto,62.09,luciano@gmail.com,12/15/2023
,,9212521267935,There,Categoria 9,Somente a descrição do produto,10.25,fabio@gmail.com,12/15/2023
,,1220848985591,Family,Categoria 1,Somente a descrição do produto,13.36,fornecedor@gmail.com,12/15/2023
,,22360413306,Page,Categoria 2,Somente a descrição do produto,11.18,luciano@gmail.com,12/15/2023
,,1879623683889,Program,Categoria 3,Somente a descrição do produto,84.51,fabio@gmail.com,12/15/2023
,,1667535611935,Pressure,Categoria 4,Somente a descrição do produto,54.52,fornecedor@gmail.com,12/15/2023
,,7662339704023,Radio,Categoria 5,Somente a descrição do produto,2.91,luciano@gmail.com,12/15/2023
,,7046878162597,Factor,Categoria 6,Somente a descrição do produto,48.38,fabio@gmail.com,12/15/2023
,,5914366685786,Keep,Categoria 7,Somente a descrição do produto,86.34,fornecedor@gmail.com,12/15/2023
,,6078519793809,Than,Categoria 8,Somente a descrição do produto,62.01,luciano@gmail.com,12/15/2023
,,3352343491227,Throughout,Categoria 9,Somente a descrição do produto,68.25,fabio@gmail.com,12/15/2023
,,8744945285574,Business,Categoria 2,Somente a descrição do produto,56.92,fornecedor@gmail.com,12/15/2023
,,221894645058,Item,Categoria 3,Somente a descrição do produto,94.66,luciano@gmail.com,12/15/2023
,,5557513057045,General,Categoria 4,Somente a descrição do produto,40.88,fabio@gmail.com,12/15/2023
,,6458063419613,Answer,Categoria 5,Somente a descrição do produto,76.89,fornecedor@gmail.com,12/15/2023
,,1655993121790,Catch,Categoria 6,Somente a descrição do produto,22.32,luciano@gmail.com,12/15/2023
,,1113196698957,Executive,Categoria 7,Somente a descrição do produto,98.04,fabio@gmail.com,12/15/2023
,,3771566563175,Parent,Categoria 8,Somente a descrição do produto,80.94,fornecedor@gmail.com,12/15/2023
,,7770152880760,Ever,Categoria 9,Somente a descrição do produto,83.83,luciano@gmail.com,12/15/2023
,,4018395506553,Between,Categoria 1,Somente a descrição do produto,5.87,fabio@gmail.com,12/15/2023
,,7944592118176,Affect,Categoria 2,Somente a descrição do produto,63.88,fornecedor@gmail.com,12/15/2023
,,6997658838519,Purpose,Categoria 3,Somente a descrição do produto,99.03,luciano@gmail.com,12/15/2023
,,895916010430,Stock,Categoria 4,Somente a descrição do produto,74.98,fabio@gmail.com,12/15/2023
